src,dst,type
Agent:Red,Event:R:56,PERFORMS
Event:R:56,ATTACK:T1068,USES_TECHNIQUE
Event:R:56,User:User3,TARGETS
Agent:Blue,Event:B:56,PERFORMS
Event:B:56,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:56,User:User3,TARGETS
Event:R:54,Event:B:56,TRIGGERS
Agent:Red,Event:R:57,PERFORMS
Event:R:57,ATTACK:T1210,USES_TECHNIQUE
Event:R:57,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:57,PERFORMS
Event:B:57,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:58,PERFORMS
Event:R:58,ATTACK:T1068,USES_TECHNIQUE
Event:R:58,User:User3,TARGETS
Agent:Blue,Event:B:58,PERFORMS
Event:B:58,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:58,User:User3,TARGETS
Event:R:56,Event:B:58,TRIGGERS
Agent:Red,Event:R:59,PERFORMS
Event:R:59,ATTACK:T1210,USES_TECHNIQUE
Event:R:59,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:59,PERFORMS
Event:B:59,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:60,PERFORMS
Event:R:60,ATTACK:T1210,USES_TECHNIQUE
Event:R:60,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:60,PERFORMS
Event:B:60,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:61,PERFORMS
Event:R:61,ATTACK:T1068,USES_TECHNIQUE
Event:R:61,User:User3,TARGETS
Agent:Blue,Event:B:61,PERFORMS
Event:B:61,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:61,User:User3,TARGETS
Event:R:58,Event:B:61,TRIGGERS
Agent:Red,Event:R:62,PERFORMS
Event:R:62,ATTACK:T1210,USES_TECHNIQUE
Event:R:62,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:62,PERFORMS
Event:B:62,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:63,PERFORMS
Event:R:63,ATTACK:T1210,USES_TECHNIQUE
Event:R:63,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:63,PERFORMS
Event:B:63,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:64,PERFORMS
Event:R:64,ATTACK:T1210,USES_TECHNIQUE
Event:R:64,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:64,PERFORMS
Event:B:64,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:65,PERFORMS
Event:R:65,ATTACK:T1068,USES_TECHNIQUE
Event:R:65,User:User3,TARGETS
Agent:Blue,Event:B:65,PERFORMS
Event:B:65,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:65,User:User3,TARGETS
Event:R:61,Event:B:65,TRIGGERS
Agent:Red,Event:R:66,PERFORMS
Event:R:66,ATTACK:T1210,USES_TECHNIQUE
Event:R:66,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:66,PERFORMS
Event:B:66,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:67,PERFORMS
Event:R:67,ATTACK:T1068,USES_TECHNIQUE
Event:R:67,User:User3,TARGETS
Agent:Blue,Event:B:67,PERFORMS
Event:B:67,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:67,User:User3,TARGETS
Event:R:65,Event:B:67,TRIGGERS
Agent:Red,Event:R:68,PERFORMS
Event:R:68,ATTACK:T1210,USES_TECHNIQUE
Event:R:68,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:68,PERFORMS
Event:B:68,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:69,PERFORMS
Event:R:69,ATTACK:T1068,USES_TECHNIQUE
Event:R:69,User:User3,TARGETS
Agent:Blue,Event:B:69,PERFORMS
Event:B:69,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:69,User:User3,TARGETS
Event:R:67,Event:B:69,TRIGGERS
Agent:Red,Event:R:70,PERFORMS
Event:R:70,ATTACK:T1210,USES_TECHNIQUE
Event:R:70,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:70,PERFORMS
Event:B:70,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:71,PERFORMS
Event:R:71,ATTACK:T1068,USES_TECHNIQUE
Event:R:71,User:User3,TARGETS
Agent:Blue,Event:B:71,PERFORMS
Event:B:71,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:71,User:User3,TARGETS
Event:R:69,Event:B:71,TRIGGERS
Agent:Red,Event:R:72,PERFORMS
Event:R:72,ATTACK:T1210,USES_TECHNIQUE
Event:R:72,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:72,PERFORMS
Event:B:72,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:73,PERFORMS
Event:R:73,ATTACK:T1068,USES_TECHNIQUE
Event:R:73,User:User3,TARGETS
Agent:Blue,Event:B:73,PERFORMS
Event:B:73,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:73,User:User3,TARGETS
Event:R:71,Event:B:73,TRIGGERS
Agent:Red,Event:R:74,PERFORMS
Event:R:74,ATTACK:T1210,USES_TECHNIQUE
Event:R:74,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:74,PERFORMS
Event:B:74,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:75,PERFORMS
Event:R:75,ATTACK:T1068,USES_TECHNIQUE
Event:R:75,User:User3,TARGETS
Agent:Blue,Event:B:75,PERFORMS
Event:B:75,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:75,User:User3,TARGETS
Event:R:73,Event:B:75,TRIGGERS
Agent:Red,Event:R:76,PERFORMS
Event:R:76,ATTACK:T1210,USES_TECHNIQUE
Event:R:76,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:76,PERFORMS
Event:B:76,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:77,PERFORMS
Event:R:77,ATTACK:T1068,USES_TECHNIQUE
Event:R:77,User:User3,TARGETS
Agent:Blue,Event:B:77,PERFORMS
Event:B:77,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:77,User:User3,TARGETS
Event:R:75,Event:B:77,TRIGGERS
Agent:Red,Event:R:78,PERFORMS
Event:R:78,ATTACK:T1210,USES_TECHNIQUE
Event:R:78,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:78,PERFORMS
Event:B:78,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:79,PERFORMS
Event:R:79,ATTACK:T1068,USES_TECHNIQUE
Event:R:79,User:User3,TARGETS
Agent:Blue,Event:B:79,PERFORMS
Event:B:79,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:79,User:User3,TARGETS
Event:R:77,Event:B:79,TRIGGERS
Agent:Red,Event:R:80,PERFORMS
Event:R:80,ATTACK:T1210,USES_TECHNIQUE
Event:R:80,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:80,PERFORMS
Event:B:80,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:81,PERFORMS
Event:R:81,ATTACK:T1068,USES_TECHNIQUE
Event:R:81,User:User3,TARGETS
Agent:Blue,Event:B:81,PERFORMS
Event:B:81,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:81,User:User3,TARGETS
Event:R:79,Event:B:81,TRIGGERS
Agent:Red,Event:R:82,PERFORMS
Event:R:82,ATTACK:T1210,USES_TECHNIQUE
Event:R:82,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:82,PERFORMS
Event:B:82,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:83,PERFORMS
Event:R:83,ATTACK:T1068,USES_TECHNIQUE
Event:R:83,User:User3,TARGETS
Agent:Blue,Event:B:83,PERFORMS
Event:B:83,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:83,User:User3,TARGETS
Event:R:81,Event:B:83,TRIGGERS
Agent:Red,Event:R:84,PERFORMS
Event:R:84,ATTACK:T1210,USES_TECHNIQUE
Event:R:84,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:84,PERFORMS
Event:B:84,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:85,PERFORMS
Event:R:85,ATTACK:T1068,USES_TECHNIQUE
Event:R:85,User:User3,TARGETS
Agent:Blue,Event:B:85,PERFORMS
Event:B:85,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:85,User:User3,TARGETS
Event:R:83,Event:B:85,TRIGGERS
Agent:Red,Event:R:86,PERFORMS
Event:R:86,ATTACK:T1210,USES_TECHNIQUE
Event:R:86,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:86,PERFORMS
Event:B:86,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:87,PERFORMS
Event:R:87,ATTACK:T1210,USES_TECHNIQUE
Event:R:87,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:87,PERFORMS
Event:B:87,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:88,PERFORMS
Event:R:88,ATTACK:T1210,USES_TECHNIQUE
Event:R:88,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:88,PERFORMS
Event:B:88,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:89,PERFORMS
Event:R:89,ATTACK:T1068,USES_TECHNIQUE
Event:R:89,User:User3,TARGETS
Agent:Blue,Event:B:89,PERFORMS
Event:B:89,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:89,User:User3,TARGETS
Event:R:85,Event:B:89,TRIGGERS
Agent:Red,Event:R:90,PERFORMS
Event:R:90,ATTACK:T1210,USES_TECHNIQUE
Event:R:90,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:90,PERFORMS
Event:B:90,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:91,PERFORMS
Event:R:91,ATTACK:T1068,USES_TECHNIQUE
Event:R:91,User:User3,TARGETS
Agent:Blue,Event:B:91,PERFORMS
Event:B:91,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:91,User:User3,TARGETS
Event:R:89,Event:B:91,TRIGGERS
Agent:Red,Event:R:92,PERFORMS
Event:R:92,ATTACK:T1210,USES_TECHNIQUE
Event:R:92,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:92,PERFORMS
Event:B:92,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:93,PERFORMS
Event:R:93,ATTACK:T1068,USES_TECHNIQUE
Event:R:93,User:User3,TARGETS
Agent:Blue,Event:B:93,PERFORMS
Event:B:93,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:93,User:User3,TARGETS
Event:R:91,Event:B:93,TRIGGERS
Agent:Red,Event:R:94,PERFORMS
Event:R:94,ATTACK:T1210,USES_TECHNIQUE
Event:R:94,Host:10.0.43.108,TARGETS
Agent:Blue,Event:B:94,PERFORMS
Event:B:94,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:95,PERFORMS
Event:R:95,ATTACK:T1068,USES_TECHNIQUE
Event:R:95,User:User3,TARGETS
Agent:Blue,Event:B:95,PERFORMS
Event:B:95,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:96,PERFORMS
Event:R:96,ATTACK:T1046,USES_TECHNIQUE
Event:R:96,Host:10.0.235.3,TARGETS
Agent:Blue,Event:B:96,PERFORMS
Event:B:96,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:97,PERFORMS
Event:R:97,ATTACK:T1210,USES_TECHNIQUE
Event:R:97,Host:10.0.235.3,TARGETS
Agent:Blue,Event:B:97,PERFORMS
Event:B:97,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:98,PERFORMS
Event:R:98,ATTACK:T1068,USES_TECHNIQUE
Event:R:98,Enterprise:Enterprise0,TARGETS
Agent:Blue,Event:B:98,PERFORMS
Event:B:98,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:98,Enterprise:Enterprise0,TARGETS
Agent:Red,Event:R:99,PERFORMS
Event:R:99,ATTACK:T1018,USES_TECHNIQUE
Event:R:99,Subnet:10.0.235.0/28,TARGETS
Agent:Blue,Event:B:99,PERFORMS
Event:B:99,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:100,PERFORMS
Event:R:100,ATTACK:T1046,USES_TECHNIQUE
Event:R:100,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:100,PERFORMS
Event:B:100,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:101,PERFORMS
Event:R:101,ATTACK:T1210,USES_TECHNIQUE
Event:R:101,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:101,PERFORMS
Event:B:101,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:102,PERFORMS
Event:R:102,ATTACK:T1068,USES_TECHNIQUE
Event:R:102,Enterprise:Enterprise2,TARGETS
Agent:Blue,Event:B:102,PERFORMS
Event:B:102,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:102,Enterprise:Enterprise2,TARGETS
Agent:Red,Event:R:103,PERFORMS
Event:R:103,ATTACK:T1210,USES_TECHNIQUE
Event:R:103,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:103,PERFORMS
Event:B:103,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:104,PERFORMS
Event:R:104,ATTACK:T1068,USES_TECHNIQUE
Event:R:104,Enterprise:Enterprise2,TARGETS
Agent:Blue,Event:B:104,PERFORMS
Event:B:104,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:104,Enterprise:Enterprise2,TARGETS
Event:R:102,Event:B:104,TRIGGERS
Agent:Red,Event:R:105,PERFORMS
Event:R:105,ATTACK:T1210,USES_TECHNIQUE
Event:R:105,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:105,PERFORMS
Event:B:105,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:106,PERFORMS
Event:R:106,ATTACK:T1068,USES_TECHNIQUE
Event:R:106,Enterprise:Enterprise2,TARGETS
Agent:Blue,Event:B:106,PERFORMS
Event:B:106,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:106,Enterprise:Enterprise2,TARGETS
Event:R:104,Event:B:106,TRIGGERS
Agent:Red,Event:R:107,PERFORMS
Event:R:107,ATTACK:T1210,USES_TECHNIQUE
Event:R:107,Host:10.0.235.6,TARGETS
Agent:Blue,Event:B:107,PERFORMS
Event:B:107,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:108,PERFORMS
Event:R:108,ATTACK:T1068,USES_TECHNIQUE
Event:R:108,Enterprise:Enterprise2,TARGETS
Agent:Blue,Event:B:108,PERFORMS
Event:B:108,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:108,Enterprise:Enterprise2,TARGETS
Event:R:106,Event:B:108,TRIGGERS
Agent:Red,Event:R:109,PERFORMS
Event:R:109,ATTACK:T1046,USES_TECHNIQUE
Event:R:109,Host:10.0.160.35,TARGETS
Agent:Blue,Event:B:109,PERFORMS
Event:B:109,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:110,PERFORMS
Event:R:110,ATTACK:T1210,USES_TECHNIQUE
Event:R:110,Host:10.0.160.35,TARGETS
Agent:Blue,Event:B:110,PERFORMS
Event:B:110,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:111,PERFORMS
Event:R:111,ATTACK:T1068,USES_TECHNIQUE
Event:R:111,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:111,PERFORMS
Event:B:111,ATTACK:DFEND_Remove,USES_TECHNIQUE
Event:B:111,Object:Op_Server0,TARGETS
Agent:Red,Event:R:112,PERFORMS
Event:R:112,ATTACK:UNK,USES_TECHNIQUE
Event:R:112,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:112,PERFORMS
Event:B:112,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:113,PERFORMS
Event:R:113,ATTACK:UNK,USES_TECHNIQUE
Event:R:113,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:113,PERFORMS
Event:B:113,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:114,PERFORMS
Event:R:114,ATTACK:UNK,USES_TECHNIQUE
Event:R:114,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:114,PERFORMS
Event:B:114,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:115,PERFORMS
Event:R:115,ATTACK:UNK,USES_TECHNIQUE
Event:R:115,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:115,PERFORMS
Event:B:115,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:116,PERFORMS
Event:R:116,ATTACK:UNK,USES_TECHNIQUE
Event:R:116,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:116,PERFORMS
Event:B:116,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:117,PERFORMS
Event:R:117,ATTACK:UNK,USES_TECHNIQUE
Event:R:117,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:117,PERFORMS
Event:B:117,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:118,PERFORMS
Event:R:118,ATTACK:UNK,USES_TECHNIQUE
Event:R:118,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:118,PERFORMS
Event:B:118,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:119,PERFORMS
Event:R:119,ATTACK:UNK,USES_TECHNIQUE
Event:R:119,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:119,PERFORMS
Event:B:119,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:120,PERFORMS
Event:R:120,ATTACK:UNK,USES_TECHNIQUE
Event:R:120,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:120,PERFORMS
Event:B:120,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:121,PERFORMS
Event:R:121,ATTACK:UNK,USES_TECHNIQUE
Event:R:121,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:121,PERFORMS
Event:B:121,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:122,PERFORMS
Event:R:122,ATTACK:UNK,USES_TECHNIQUE
Event:R:122,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:122,PERFORMS
Event:B:122,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:123,PERFORMS
Event:R:123,ATTACK:UNK,USES_TECHNIQUE
Event:R:123,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:123,PERFORMS
Event:B:123,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:124,PERFORMS
Event:R:124,ATTACK:UNK,USES_TECHNIQUE
Event:R:124,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:124,PERFORMS
Event:B:124,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:125,PERFORMS
Event:R:125,ATTACK:UNK,USES_TECHNIQUE
Event:R:125,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:125,PERFORMS
Event:B:125,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:126,PERFORMS
Event:R:126,ATTACK:UNK,USES_TECHNIQUE
Event:R:126,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:126,PERFORMS
Event:B:126,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:127,PERFORMS
Event:R:127,ATTACK:UNK,USES_TECHNIQUE
Event:R:127,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:127,PERFORMS
Event:B:127,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:128,PERFORMS
Event:R:128,ATTACK:UNK,USES_TECHNIQUE
Event:R:128,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:128,PERFORMS
Event:B:128,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:129,PERFORMS
Event:R:129,ATTACK:UNK,USES_TECHNIQUE
Event:R:129,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:129,PERFORMS
Event:B:129,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:130,PERFORMS
Event:R:130,ATTACK:UNK,USES_TECHNIQUE
Event:R:130,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:130,PERFORMS
Event:B:130,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:131,PERFORMS
Event:R:131,ATTACK:UNK,USES_TECHNIQUE
Event:R:131,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:131,PERFORMS
Event:B:131,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:132,PERFORMS
Event:R:132,ATTACK:UNK,USES_TECHNIQUE
Event:R:132,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:132,PERFORMS
Event:B:132,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:133,PERFORMS
Event:R:133,ATTACK:UNK,USES_TECHNIQUE
Event:R:133,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:133,PERFORMS
Event:B:133,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:134,PERFORMS
Event:R:134,ATTACK:UNK,USES_TECHNIQUE
Event:R:134,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:134,PERFORMS
Event:B:134,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:135,PERFORMS
Event:R:135,ATTACK:UNK,USES_TECHNIQUE
Event:R:135,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:135,PERFORMS
Event:B:135,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:136,PERFORMS
Event:R:136,ATTACK:UNK,USES_TECHNIQUE
Event:R:136,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:136,PERFORMS
Event:B:136,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:137,PERFORMS
Event:R:137,ATTACK:UNK,USES_TECHNIQUE
Event:R:137,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:137,PERFORMS
Event:B:137,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:138,PERFORMS
Event:R:138,ATTACK:UNK,USES_TECHNIQUE
Event:R:138,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:138,PERFORMS
Event:B:138,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:139,PERFORMS
Event:R:139,ATTACK:UNK,USES_TECHNIQUE
Event:R:139,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:139,PERFORMS
Event:B:139,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:140,PERFORMS
Event:R:140,ATTACK:UNK,USES_TECHNIQUE
Event:R:140,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:140,PERFORMS
Event:B:140,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:141,PERFORMS
Event:R:141,ATTACK:UNK,USES_TECHNIQUE
Event:R:141,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:141,PERFORMS
Event:B:141,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:142,PERFORMS
Event:R:142,ATTACK:UNK,USES_TECHNIQUE
Event:R:142,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:142,PERFORMS
Event:B:142,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:143,PERFORMS
Event:R:143,ATTACK:UNK,USES_TECHNIQUE
Event:R:143,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:143,PERFORMS
Event:B:143,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:144,PERFORMS
Event:R:144,ATTACK:UNK,USES_TECHNIQUE
Event:R:144,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:144,PERFORMS
Event:B:144,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:145,PERFORMS
Event:R:145,ATTACK:UNK,USES_TECHNIQUE
Event:R:145,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:145,PERFORMS
Event:B:145,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:146,PERFORMS
Event:R:146,ATTACK:UNK,USES_TECHNIQUE
Event:R:146,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:146,PERFORMS
Event:B:146,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:147,PERFORMS
Event:R:147,ATTACK:UNK,USES_TECHNIQUE
Event:R:147,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:147,PERFORMS
Event:B:147,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:148,PERFORMS
Event:R:148,ATTACK:UNK,USES_TECHNIQUE
Event:R:148,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:148,PERFORMS
Event:B:148,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:149,PERFORMS
Event:R:149,ATTACK:UNK,USES_TECHNIQUE
Event:R:149,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:149,PERFORMS
Event:B:149,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:150,PERFORMS
Event:R:150,ATTACK:UNK,USES_TECHNIQUE
Event:R:150,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:150,PERFORMS
Event:B:150,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:151,PERFORMS
Event:R:151,ATTACK:UNK,USES_TECHNIQUE
Event:R:151,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:151,PERFORMS
Event:B:151,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:152,PERFORMS
Event:R:152,ATTACK:UNK,USES_TECHNIQUE
Event:R:152,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:152,PERFORMS
Event:B:152,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:153,PERFORMS
Event:R:153,ATTACK:UNK,USES_TECHNIQUE
Event:R:153,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:153,PERFORMS
Event:B:153,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:154,PERFORMS
Event:R:154,ATTACK:UNK,USES_TECHNIQUE
Event:R:154,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:154,PERFORMS
Event:B:154,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:155,PERFORMS
Event:R:155,ATTACK:UNK,USES_TECHNIQUE
Event:R:155,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:155,PERFORMS
Event:B:155,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:156,PERFORMS
Event:R:156,ATTACK:UNK,USES_TECHNIQUE
Event:R:156,Object:Op_Server0,TARGETS
Agent:Blue,Event:B:156,PERFORMS
Event:B:156,ATTACK:DFEND_Monitor,USES_TECHNIQUE
Agent:Red,Event:R:157,PERFORMS
